"Emotion","Exp_ID","IMDFblankISI_jitter","NT_ID","Object","Scene","Set_ID","TBF_ID","TBR_ID","TNTfixation_jitter","T_ID","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color","color_backend","compensation","condition","coordinates","correct","correct_TNT_fMRI_instruct","correct_TNT_fMRI_intrusionrating_response","correct_refresher_instruct","correct_standby","count_BREAK","count_CHANGELOG","count_IMDF_fMRI_NULL","count_IMDF_fMRI_blankISI","count_IMDF_fMRI_blockloop","count_IMDF_fMRI_blockloop_practice","count_IMDF_fMRI_fixation","count_IMDF_fMRI_instruct","count_IMDF_fMRI_jitterblankISIscript","count_IMDF_fMRI_scene","count_IMDF_fMRI_sceneobject","count_IMDF_fMRI_trialsequence","count_IMDF_fMRI_trialsequence_practice","count_IMDF_instruct","count_IMDF_practice_instruct","count_Questions_for_CVS","count_TNTF_fMRI","count_TNTF_fMRI_blocksequence","count_TNTF_fMRI_jitteredfixationscript","count_TNT_fMRI_NULL","count_TNT_fMRI_blockloop","count_TNT_fMRI_cue","count_TNT_fMRI_instruct","count_TNT_fMRI_intrusionrating","count_TNT_fMRI_intrusionrating_response","count_TNT_fMRI_jitteredfixation","count_TNT_fMRI_trialsequence","count_add_timeremaining","count_blank_before_t_presses","count_calculate_time_remaining","count_define_constants","count_determine_end_run","count_determine_instruction","count_experiment","count_fixation","count_logger","count_new_logger","count_pair","count_pulse","count_refresher_block_loop","count_refresher_instruct","count_refresher_trial_sequence","count_scaling_factors","count_standby","count_todo_new","count_wait","count_wait_pulse","datetime","description","disable_garbage_collection","empty_column","end_x_fixationline","end_y_fixationline","exp_ID","experiment_file","experiment_path","filler","filler_type","fixationdimension","fixationwidth","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","instruction_msg","keyboard_backend","live_row","live_row_TNTF_fMRI","live_row_TNT_fMRI_blockloop","logfile","main_run","mouse_backend","neg_ID","neu_ID","null_ID","opensesame_codename","opensesame_version","order","pair_ID","pp_ID","psychopy_screen","psychopy_waitblanking","remember_condition","repeat_cycle","repetition","response","response_BREAK","response_IMDF_instruct","response_IMDF_practice_instruct","response_TNT_fMRI_instruct","response_TNT_fMRI_intrusionrating_response","response_refresher_instruct","response_standby","response_time","response_time_BREAK","response_time_IMDF_instruct","response_time_IMDF_practice_instruct","response_time_TNT_fMRI_instruct","response_time_TNT_fMRI_intrusionrating_response","response_time_refresher_instruct","response_time_standby","round_decimals","run_ended","sampler_backend","scale_object_IMDF","scale_object_cue","scale_object_refesher","scale_scene_IMDF","scale_scene_refresher","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","start_x_fixationline","start_y_fixationline","subject_nr","subject_parity","think_condition","time_BREAK","time_CHANGELOG","time_IMDF_fMRI_NULL","time_IMDF_fMRI_blankISI","time_IMDF_fMRI_blockloop","time_IMDF_fMRI_blockloop_practice","time_IMDF_fMRI_fixation","time_IMDF_fMRI_instruct","time_IMDF_fMRI_jitterblankISIscript","time_IMDF_fMRI_scene","time_IMDF_fMRI_sceneobject","time_IMDF_fMRI_trialsequence","time_IMDF_fMRI_trialsequence_practice","time_IMDF_instruct","time_IMDF_practice_instruct","time_Questions_for_CVS","time_TNTF_fMRI","time_TNTF_fMRI_blocksequence","time_TNTF_fMRI_jitteredfixationscript","time_TNT_fMRI_NULL","time_TNT_fMRI_blockloop","time_TNT_fMRI_cue","time_TNT_fMRI_instruct","time_TNT_fMRI_intrusionrating","time_TNT_fMRI_intrusionrating_response","time_TNT_fMRI_jitteredfixation","time_TNT_fMRI_trialsequence","time_add_timeremaining","time_blank_before_t_presses","time_calculate_time_remaining","time_define_constants","time_determine_end_run","time_determine_instruction","time_experiment","time_fixation","time_logger","time_new_logger","time_pair","time_pulse","time_refresher_block_loop","time_refresher_instruct","time_refresher_trial_sequence","time_scaling_factors","time_standby","time_todo_new","time_wait","time_wait_pulse","timeout_keypress","timeremaining","title","total_correct","total_response_time","total_responses","trial_count","uniform_coordinates","width"
"neg","TNT_scanner","NA","55","safetypin.jpg","8480_people_fear.jpg","2","NA","NA","1400","9999","undefined","undefined","3000.9706370037748","3000.9706370037748","black","yes","psycho","psycho","red","psycho","0","NT_neg","uniform","undefined","undefined","undefined","undefined","undefined","0","0","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","28","5","0","22","0","28","28","28","28","5","NA","28","0","28","NA","0","0","28","NA","NA","31","0","0","NA","0","33","0","1","31","ma 12 apr 2021 21:02:04 CEST","A template containing a practice and an experimental phase","yes","","30","30","TNT_scanner","TNTF_fMRI.osexp","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files","no","","60","4","no","mono","no","20","no","white","no","no","768","NA","psycho","28","0","28","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files/quickrun.csv","first","psycho","9999","31","30","Lentiform Loewenfeld","3.3.9b1","NA","18","34","1","yes","NA","0","one","None","NA","NA","NA","t","None","t","t","3000.9706370037748","NA","NA","NA","455.0347249896731","3000.9706370037748","151.53183000802528","3490.7899649988394","2","no","psycho","0.5","0.2","0.2","1","0.6","1024","2","48000","-16","experiment","-30","-30","999","odd","NT","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12945.84983799723","12946.26125099603","253635.14344400028","219999.66228599078","12946.29786600126","255136.1485059897","10599.490644002799","258159.16997099703","258159.51228699123","253652.8881760023","253635.05999700283","224007.2982749989","NA","261165.36907700356","7071.771942995838","261165.43866999564","NA","1384.248722999473","7071.747333990061","261165.4562659969","NA","NA","11073.356804001378","NA","1895.899772993289","NA","7071.784529995057","7090.283217999968","NA","2066.0837100003846","11073.133744997904","3000","-0.9706370037747547","TNT_IMDF_fMRI","0","3000.9706370037748","1","29","yes","1024"
"neg","TNT_scanner","NA","9999","glassmop.jpg","9440_object_disgustandfear.jpg","2","NA","NA","2200","53","undefined","undefined","3000.0570630072616","3000.0570630072616","black","yes","psycho","psycho","green","psycho","0","T_neg","uniform","undefined","undefined","undefined","undefined","undefined","0","0","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","29","5","0","23","0","29","29","29","29","5","NA","29","0","29","NA","0","0","29","NA","NA","32","0","0","NA","0","34","0","1","32","ma 12 apr 2021 21:02:04 CEST","A template containing a practice and an experimental phase","yes","","30","30","TNT_scanner","TNTF_fMRI.osexp","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files","no","","60","4","no","mono","no","20","no","white","no","no","768","NA","psycho","29","0","29","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files/quickrun.csv","first","psycho","9999","53","76","Lentiform Loewenfeld","3.3.9b1","NA","40","34","1","yes","NA","0","one","None","NA","NA","NA","t","None","t","t","3000.0570630072616","NA","NA","NA","455.0347249896731","3000.0570630072616","151.53183000802528","3490.7899649988394","2","no","psycho","0.5","0.2","0.2","1","0.6","1024","2","48000","-16","experiment","-30","-30","999","odd","T","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12945.84983799723","12946.26125099603","261346.35685199464","219999.66228599078","12946.29786600126","263632.62211499386","10599.490644002799","267638.16009300353","267638.78977099375","261364.83673698967","261346.22386399133","224007.2982749989","NA","270639.01276398974","7071.771942995838","270639.0820230008","NA","1384.248722999473","7071.747333990061","270639.09980800236","NA","NA","11073.356804001378","NA","1895.899772993289","NA","7071.784529995057","7090.283217999968","NA","2066.0837100003846","11073.133744997904","3000","-0.05706300726160407","TNT_IMDF_fMRI","0","3000.0570630072616","1","30","yes","1024"
"neg","TNT_scanner","NA","59","measuringtape01.jpg","Faces_363_vsad.jpg","2","NA","NA","1400","9999","undefined","undefined","3000.0967509986367","3000.0967509986367","black","yes","psycho","psycho","green","psycho","0","T_neg","uniform","undefined","undefined","undefined","undefined","undefined","0","0","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","30","5","0","24","0","30","30","30","30","5","NA","30","0","30","NA","0","0","30","NA","NA","33","0","0","NA","0","35","0","1","33","ma 12 apr 2021 21:02:04 CEST","A template containing a practice and an experimental phase","yes","","30","30","TNT_scanner","TNTF_fMRI.osexp","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files","no","","60","4","no","mono","no","20","no","white","no","no","768","NA","psycho","30","0","30","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files/quickrun.csv","first","psycho","9999","35","34","Lentiform Loewenfeld","3.3.9b1","NA","22","34","1","yes","NA","0","one","None","NA","NA","NA","t","None","t","t","3000.0967509986367","NA","NA","NA","455.0347249896731","3000.0967509986367","151.53183000802528","3490.7899649988394","2","no","psycho","0.5","0.2","0.2","1","0.6","1024","2","48000","-16","experiment","-30","-30","999","odd","T","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12945.84983799723","12946.26125099603","270808.42178699095","219999.66228599078","12946.29786600126","274256.1805269943","10599.490644002799","278261.84921798995","278263.16167799814","271810.2081160032","270808.3493739978","224007.2982749989","NA","281263.4334299946","7071.771942995838","281263.517571002","NA","1384.248722999473","7071.747333990061","281263.5372700024","NA","NA","11073.356804001378","NA","1895.899772993289","NA","7071.784529995057","7090.283217999968","NA","2066.0837100003846","11073.133744997904","3000","-0.09675099863670766","TNT_IMDF_fMRI","0","3000.0967509986367","1","31","yes","1024"
"neu","TNT_scanner","NA","9999","battery02b.jpg","neutral_509.jpg","2","NA","NA","1400","31","undefined","undefined","3000.0610720016994","3000.0610720016994","black","yes","psycho","psycho","red","psycho","0","NT_neu","uniform","undefined","undefined","undefined","undefined","undefined","0","0","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","31","5","0","25","0","31","31","31","31","5","NA","31","0","31","NA","0","0","31","NA","NA","34","0","0","NA","0","36","0","1","34","ma 12 apr 2021 21:02:04 CEST","A template containing a practice and an experimental phase","yes","","30","30","TNT_scanner","TNTF_fMRI.osexp","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files","no","","60","4","no","mono","no","20","no","white","no","no","768","NA","psycho","31","0","31","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files/quickrun.csv","first","psycho","55","9999","54","Lentiform Loewenfeld","3.3.9b1","NA","30","34","1","yes","NA","0","one","None","NA","NA","NA","t","None","t","t","3000.0610720016994","NA","NA","NA","455.0347249896731","3000.0610720016994","151.53183000802528","3490.7899649988394","2","no","psycho","0.5","0.2","0.2","1","0.6","1024","2","48000","-16","experiment","-30","-30","999","odd","NT","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12945.84983799723","12946.26125099603","281400.410510003","219999.66228599078","12946.29786600126","284858.57667500386","10599.490644002799","288864.4995299983","288865.0945929985","282401.9506859913","281400.3421369998","224007.2982749989","NA","291865.6786369975","7071.771942995838","291865.9515999898","NA","1384.248722999473","7071.747333990061","291866.0424499976","NA","NA","11073.356804001378","NA","1895.899772993289","NA","7071.784529995057","7090.283217999968","NA","2066.0837100003846","11073.133744997904","3000","-0.061072001699358225","TNT_IMDF_fMRI","0","3000.0610720016994","1","32","yes","1024"
"neg","TNT_scanner","NA","9999","ruler05.jpg","1201_animal_fearanddisgust.jpg","3","NA","NA","2600","50","undefined","undefined","3000.073859002441","3000.073859002441","black","yes","psycho","psycho","red","psycho","0","NT_neg","uniform","undefined","undefined","undefined","undefined","undefined","0","0","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","32","5","0","26","0","32","32","32","32","5","NA","32","0","32","NA","0","0","32","NA","NA","35","0","0","NA","0","37","0","1","35","ma 12 apr 2021 21:02:04 CEST","A template containing a practice and an experimental phase","yes","","30","30","TNT_scanner","TNTF_fMRI.osexp","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files","no","","60","4","no","mono","no","20","no","white","no","no","768","NA","psycho","32","0","32","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files/quickrun.csv","first","psycho","9999","50","73","Lentiform Loewenfeld","3.3.9b1","NA","37","34","1","yes","NA","0","one","None","NA","NA","NA","t","None","t","t","3000.073859002441","NA","NA","NA","455.0347249896731","3000.073859002441","151.53183000802528","3490.7899649988394","2","no","psycho","0.5","0.2","0.2","1","0.6","1024","2","48000","-16","experiment","-30","-30","999","odd","NT","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12945.84983799723","12946.26125099603","292076.9300559914","219999.66228599078","12946.29786600126","295794.7116419964","10599.490644002799","299799.11240100046","299800.05459999666","293078.378471997","292076.8450839969","224007.2982749989","NA","302800.30615899886","7071.771942995838","302800.37871099194","NA","1384.248722999473","7071.747333990061","302800.3966839897","NA","NA","11073.356804001378","NA","1895.899772993289","NA","7071.784529995057","7090.283217999968","NA","2066.0837100003846","11073.133744997904","3000","-0.07385900244116783","TNT_IMDF_fMRI","0","3000.073859002441","1","33","yes","1024"
"neu","TNT_scanner","NA","32","ring01.jpg","neutral_226.jpg","3","NA","NA","1800","9999","undefined","undefined","3000.0628699926892","3000.0628699926892","black","yes","psycho","psycho","red","psycho","0","NT_neu","uniform","undefined","undefined","undefined","undefined","undefined","0","0","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","33","5","0","27","0","33","33","33","33","5","NA","33","0","33","NA","0","0","33","NA","NA","36","0","0","NA","0","38","0","1","36","ma 12 apr 2021 21:02:04 CEST","A template containing a practice and an experimental phase","yes","","30","30","TNT_scanner","TNTF_fMRI.osexp","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files","no","","60","4","no","mono","no","20","no","white","no","no","768","NA","psycho","33","0","33","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files/quickrun.csv","first","psycho","32","9999","7","Lentiform Loewenfeld","3.3.9b1","NA","7","34","1","yes","NA","0","one","None","NA","NA","NA","t","None","t","t","3000.0628699926892","NA","NA","NA","455.0347249896731","3000.0628699926892","151.53183000802528","3490.7899649988394","2","no","psycho","0.5","0.2","0.2","1","0.6","1024","2","48000","-16","experiment","-30","-30","999","odd","NT","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12945.84983799723","12946.26125099603","302963.75673799776","219999.66228599078","12946.29786600126","306832.93176400184","10599.490644002799","310836.74804499606","310837.4413499987","303964.6715679992","302963.67819399165","224007.2982749989","NA","313837.6790820039","7071.771942995838","313837.7498280024","NA","1384.248722999473","7071.747333990061","313837.7675189986","NA","NA","11073.356804001378","NA","1895.899772993289","NA","7071.784529995057","7090.283217999968","NA","2066.0837100003846","11073.133744997904","3000","-0.06286999268922955","TNT_IMDF_fMRI","0","3000.0628699926892","1","34","yes","1024"
"neg","TNT_scanner","NA","60","towel02a.jpg","Objects_006_hdisgust.jpg","3","NA","NA","1400","9999","undefined","undefined","3000.0718500086805","3000.0718500086805","black","yes","psycho","psycho","green","psycho","0","T_neg","uniform","undefined","undefined","undefined","undefined","undefined","0","0","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","34","5","0","28","0","34","34","34","34","5","NA","34","0","34","NA","0","0","34","NA","NA","37","0","0","NA","0","39","0","1","37","ma 12 apr 2021 21:02:04 CEST","A template containing a practice and an experimental phase","yes","","30","30","TNT_scanner","TNTF_fMRI.osexp","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files","no","","60","4","no","mono","no","20","no","white","no","no","768","NA","psycho","34","0","34","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files/quickrun.csv","first","psycho","9999","36","35","Lentiform Loewenfeld","3.3.9b1","NA","23","34","1","yes","NA","0","one","None","NA","NA","NA","t","None","t","t","3000.0718500086805","NA","NA","NA","455.0347249896731","3000.0718500086805","151.53183000802528","3490.7899649988394","2","no","psycho","0.5","0.2","0.2","1","0.6","1024","2","48000","-16","experiment","-30","-30","999","odd","T","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12945.84983799723","12946.26125099603","313999.28717900184","219999.66228599078","12946.29786600126","317455.7391220005","10599.490644002799","321460.18417899904","321461.0311019933","315001.15752700367","313999.2100429954","224007.2982749989","NA","324461.2861319911","7071.771942995838","324461.3570560032","NA","1384.248722999473","7071.747333990061","324461.37557699694","NA","NA","11073.356804001378","NA","1895.899772993289","NA","7071.784529995057","7090.283217999968","NA","2066.0837100003846","11073.133744997904","3000","-0.07185000868048519","TNT_IMDF_fMRI","0","3000.0718500086805","1","35","yes","1024"
"neg","TNT_scanner","NA","61","wallet04.jpg","People_140_hsad.jpg","3","NA","NA","1400","9999","undefined","undefined","3000.045635999413","3000.045635999413","black","yes","psycho","psycho","red","psycho","0","NT_neg","uniform","undefined","undefined","undefined","undefined","undefined","0","0","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","35","5","0","29","0","35","35","35","35","5","NA","35","0","35","NA","0","0","35","NA","NA","38","0","0","NA","0","40","0","1","38","ma 12 apr 2021 21:02:04 CEST","A template containing a practice and an experimental phase","yes","","30","30","TNT_scanner","TNTF_fMRI.osexp","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files","no","","60","4","no","mono","no","20","no","white","no","no","768","NA","psycho","35","0","35","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files/quickrun.csv","first","psycho","9999","37","36","Lentiform Loewenfeld","3.3.9b1","NA","24","34","1","yes","NA","0","one","None","NA","NA","NA","t","None","t","t","3000.045635999413","NA","NA","NA","455.0347249896731","3000.045635999413","151.53183000802528","3490.7899649988394","2","no","psycho","0.5","0.2","0.2","1","0.6","1024","2","48000","-16","experiment","-30","-30","999","odd","NT","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12945.84983799723","12946.26125099603","324654.2787840008","219999.66228599078","12946.29786600126","328111.05377999775","10599.490644002799","332123.3790559927","332123.9992490009","325655.44117300306","324654.2005639931","224007.2982749989","NA","335124.2398119939","7071.771942995838","335124.32221999916","NA","1384.248722999473","7071.747333990061","335124.34034199396","NA","NA","11073.356804001378","NA","1895.899772993289","NA","7071.784529995057","7090.283217999968","NA","2066.0837100003846","11073.133744997904","3000","-0.04563599941320717","TNT_IMDF_fMRI","0","3000.045635999413","1","36","yes","1024"
"None","TNT_scanner","NA","","","","3","NA","NA","1800","","undefined","undefined","3000.045635999413","3000.045635999413","black","yes","psycho","psycho","None","psycho","0","NULL","uniform","undefined","undefined","undefined","undefined","undefined","0","0","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","36","6","0","29","0","36","36","36","36","6","NA","36","0","36","NA","0","0","36","NA","NA","39","0","0","NA","0","41","0","1","39","ma 12 apr 2021 21:02:04 CEST","A template containing a practice and an experimental phase","yes","","30","30","TNT_scanner","TNTF_fMRI.osexp","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files","","","60","4","no","mono","no","20","no","white","no","no","768","NA","psycho","36","0","36","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files/quickrun.csv","first","psycho","","","9999","Lentiform Loewenfeld","3.3.9b1","NA","","34","1","yes","NA","0","one","None","NA","NA","NA","t","None","t","t","0","NA","NA","NA","455.0347249896731","3000.045635999413","151.53183000802528","3490.7899649988394","2","no","psycho","0.5","0.2","0.2","1","0.6","1024","2","48000","-16","experiment","-30","-30","999","odd","None","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12945.84983799723","12946.26125099603","335380.71616100206","339191.46047800314","12946.29786600126","328111.05377999775","10599.490644002799","332123.3790559927","332123.9992490009","336385.49564999994","335380.64160899376","343198.44811999064","NA","342194.1433180036","7071.771942995838","346202.11610199476","NA","1384.248722999473","7071.747333990061","346202.1456939983","NA","NA","11073.356804001378","NA","1895.899772993289","NA","7071.784529995057","7090.283217999968","NA","2066.0837100003846","11073.133744997904","3000","3000","TNT_IMDF_fMRI","0","3000.045635999413","1","37","yes","1024"
"neu","TNT_scanner","NA","36","chair.jpg","neutral_144.jpg","3","NA","NA","2600","9999","undefined","undefined","3000.129834996187","3000.129834996187","black","yes","psycho","psycho","green","psycho","0","T_neu","uniform","undefined","undefined","undefined","undefined","undefined","0","0","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","37","6","0","30","0","37","37","37","37","6","NA","37","0","37","NA","0","0","37","NA","NA","40","0","0","NA","0","42","0","1","40","ma 12 apr 2021 21:02:04 CEST","A template containing a practice and an experimental phase","yes","","30","30","TNT_scanner","TNTF_fMRI.osexp","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files","no","","60","4","no","mono","no","20","no","white","no","no","768","NA","psycho","37","0","37","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files/quickrun.csv","first","psycho","36","9999","11","Lentiform Loewenfeld","3.3.9b1","NA","11","34","1","yes","NA","0","one","None","NA","NA","NA","t","None","t","t","3000.129834996187","NA","NA","NA","455.0347249896731","3000.129834996187","151.53183000802528","3490.7899649988394","2","no","psycho","0.5","0.2","0.2","1","0.6","1024","2","48000","-16","experiment","-30","-30","999","odd","T","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12945.84983799723","12946.26125099603","346455.0476119912","339191.46047800314","12946.29786600126","351120.8832830016","10599.490644002799","355137.8043869918","355141.79723699635","347461.86108200345","346454.9731809966","343198.44811999064","NA","358142.15807999426","7071.771942995838","358142.23800599575","NA","1384.248722999473","7071.747333990061","358142.2567629925","NA","NA","11073.356804001378","NA","1895.899772993289","NA","7071.784529995057","7090.283217999968","NA","2066.0837100003846","11073.133744997904","3000","-0.12983499618712813","TNT_IMDF_fMRI","0","3000.129834996187","1","38","yes","1024"
"neg","TNT_scanner","NA","9999","boot02b.jpg","Objects_328_hdisgust.jpg","3","NA","NA","2000","51","undefined","undefined","3008.094744000118","3008.094744000118","black","yes","psycho","psycho","green","psycho","0","T_neg","uniform","undefined","undefined","undefined","undefined","undefined","0","0","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","38","6","0","31","0","38","38","38","38","6","NA","38","0","38","NA","0","0","38","NA","NA","41","0","0","NA","0","43","0","1","41","ma 12 apr 2021 21:02:04 CEST","A template containing a practice and an experimental phase","yes","","30","30","TNT_scanner","TNTF_fMRI.osexp","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files","no","","60","4","no","mono","no","20","no","white","no","no","768","NA","psycho","38","0","38","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files/quickrun.csv","first","psycho","9999","51","74","Lentiform Loewenfeld","3.3.9b1","NA","38","34","1","yes","NA","0","one","None","NA","NA","NA","t","None","t","t","3008.094744000118","NA","NA","NA","455.0347249896731","3008.094744000118","151.53183000802528","3490.7899649988394","2","no","psycho","0.5","0.2","0.2","1","0.6","1024","2","48000","-16","experiment","-30","-30","999","odd","T","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12945.84983799723","12946.26125099603","358321.70717799454","339191.46047800314","12946.29786600126","362377.64281099953","10599.490644002799","366383.9704669954","366384.7749849956","359322.3032590031","358321.6253369901","343198.44811999064","NA","369393.0334500037","7071.771942995838","369393.0884119909","NA","1384.248722999473","7071.747333990061","369393.1050559913","NA","NA","11073.356804001378","NA","1895.899772993289","NA","7071.784529995057","7090.283217999968","NA","2066.0837100003846","11073.133744997904","3000","-8.094744000118226","TNT_IMDF_fMRI","0","3008.094744000118","1","39","yes","1024"
"neg","TNT_scanner","NA","9999","book01b.jpg","9412_people_sad.jpg","3","NA","NA","2200","52","undefined","undefined","2463.8307839923073","2463.8307839923073","black","yes","psycho","psycho","red","psycho","0","NT_neg","uniform","undefined","undefined","undefined","undefined","undefined","0","0","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","39","6","0","32","0","39","39","39","39","7","NA","39","0","39","NA","0","0","39","NA","NA","42","0","0","NA","0","44","0","1","42","ma 12 apr 2021 21:02:04 CEST","A template containing a practice and an experimental phase","yes","","30","30","TNT_scanner","TNTF_fMRI.osexp","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files","no","","60","4","no","mono","no","20","no","white","no","no","768","NA","psycho","39","0","39","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files/quickrun.csv","first","psycho","9999","52","75","Lentiform Loewenfeld","3.3.9b1","NA","39","34","1","yes","NA","0","one","1","NA","NA","NA","t","1","t","t","2463.8307839923073","NA","NA","NA","455.0347249896731","2463.8307839923073","151.53183000802528","3490.7899649988394","2","no","psycho","0.5","0.2","0.2","1","0.6","1024","2","48000","-16","experiment","-30","-30","999","odd","NT","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12945.84983799723","12946.26125099603","369580.41418599896","339191.46047800314","12946.29786600126","373839.2170040024","10599.490644002799","377844.9479809933","377845.7699110004","370582.6132249931","369580.3370979993","380381.05983399146","NA","380349.22854800243","7071.771942995838","380918.54981399956","NA","1384.248722999473","7071.747333990061","380918.57951799466","NA","NA","11073.356804001378","NA","1895.899772993289","NA","7071.784529995057","7090.283217999968","NA","2066.0837100003846","11073.133744997904","3000","536.1692160076927","TNT_IMDF_fMRI","0","2463.8307839923073","1","40","yes","1024"
